title,authors,abstracts,venue,year_token,year,primary_topic,reference_count,citation_count,keywords,venue_cav,venue_iclp,venue_kr,venue_lics,venue_lpnmr,Label
"proceedings 41st international conference on logic programming, iclp 2025, rende, italy, 12-19th september 2025.",paul tarau,"since the first conference in marseille in 1982, the international conference on logic programming (iclp) has been the premier international event for presenting research in logic programming. these proceedings include the technical communications of the 41st iclp, held on 12-19 september 2025 at the university of calabria in rende, italy. the papers and extended abstracts in this volume address the following areas and topics: theoretical foundations, language design and programming methodologies, program analysis and optimization, applications and implementation methodologies. this volume features contributions to three submission tracks of iclp 2025: the main track, ijcai fast track, and recently published research track.",iclp,year_post_2024,2026,"logic, reasoning, and knowledge",0,0,"logic programming, event (particle physics), volume (thermodynamics), logic program, horn clause",0.0,1.0,0.0,0.0,0.0,1
conditionals and temporal conditionals for gradual argumentation.,noauthor,noabstract,iclp,year_post_2024,2025,notopic,46,0,nokeywords,0.0,1.0,0.0,0.0,0.0,1
learning and contesting assumption-based argumentation frameworks (invited talk).,ofer arieli jesse heyninck,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,2
agentified argumentative learning (short paper).,noauthor,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,1
empowering public interest communication with argumentation - project report (short paper).,alejandra casas niño de rivera,noabstract,iclp,year_post_2024,2025,notopic,10,0,nokeywords,0.0,1.0,0.0,0.0,0.0,1
early insights into argumentation-guided causal evaluation with the help of llms.,shuang wang wenjie chen yang zhang ting chen jian du,noabstract,iclp,year_post_2024,2025,notopic,52,0,nokeywords,0.0,1.0,0.0,0.0,0.0,2
some enhancements to the prolog playground and ald notebooks for the modern prolog classroom.,noauthor,noabstract,iclp,year_post_2024,2025,notopic,17,0,nokeywords,0.0,1.0,0.0,0.0,0.0,3
temporal conditional reasoning with weighted knowledge bases.,christian eichhorn,noabstract,iclp,year_post_2024,2025,notopic,29,0,nokeywords,0.0,1.0,0.0,0.0,0.0,3
teaching asp (and its users) to share code: abstract (invited talk).,terri lindenberg,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,4
a preliminary evaluation of open-source llms for datalog-based semantic parsing in the asvin project.,amad atiq george ubakanma muddesar iqbal,noabstract,iclp,year_post_2024,2025,notopic,24,0,nokeywords,0.0,1.0,0.0,0.0,0.0,1
asp chef creates surveys.,noauthor,noabstract,iclp,year_post_2024,2025,notopic,28,0,nokeywords,0.0,1.0,0.0,0.0,0.0,3
nexsim: a system for explaining nexus of similarities.,noauthor,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,4
iterative asp pipelines: enhancements for robots playing mobile games.,noauthor,noabstract,iclp,year_post_2024,2025,notopic,5,0,nokeywords,0.0,1.0,0.0,0.0,0.0,4
general grid recognition and logic-driven gameplay for intelligent robots.,noauthor,noabstract,iclp,year_post_2024,2025,notopic,8,0,nokeywords,0.0,1.0,0.0,0.0,0.0,2
tackling the air traffic flow and capacity management problem with explainable answer set programming.,gładyś sylwester malarski marek jasiński sławomir skorupski jacek,noabstract,iclp,year_post_2024,2025,notopic,56,0,nokeywords,0.0,1.0,0.0,0.0,0.0,5
knowledge graphs &amp; reasoning in concert: automating regulation in corporate economics.,noauthor,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,2
"flexible, lifelong, explainable, and robust solutions for multi-agent path finding problems.",aysu bogatarkan,"the multi-agent path finding (mapf) problem is a combinatorial search problem that aims at finding paths for multiple agents in an environment without collisions, subject to constraints on the lengths of paths. the real-world applications of mapf require flexible, lifelong, robust and explainable solutions. in this study, these challenges are being addressed.",iclp,year_post_2024,2025,robotic path planning algorithms,33,0,"path (computing), minification, subject (documents), optimization problem, robustness (evolution)",0.0,1.0,0.0,0.0,0.0,4
neurosymbolic ai in digital forensics: commonsense and qualitative reasoning.,son tran edjard mota artur d'avila garcez,noabstract,iclp,year_post_2024,2025,notopic,29,0,nokeywords,0.0,1.0,0.0,0.0,0.0,5
a tool set for converting controlled natural languages into ai formalisms.,noauthor,noabstract,iclp,year_post_2024,2025,notopic,42,0,nokeywords,0.0,1.0,0.0,0.0,0.0,5
representing and evaluating sbvr specification via asp.,murali mohanan imran sarwar bajwa,noabstract,iclp,year_post_2024,2025,notopic,43,0,nokeywords,0.0,1.0,0.0,0.0,0.0,4
on the translation of asp rules to (controlled) natural language sentences.,simone caruso carmine dodaro marco maratea marco mochi francesco riccio,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeywords,0.0,1.0,0.0,0.0,0.0,4
