title,authors,abstracts,venue,year_token,year,primary_topic,reference_count,citation_count,keywords,Label
proceeding 41st international conference logic programming iclp 2025 rende italy 1219th september 2025,paul tarau,since first conference marseille 1982 international conference logic programming iclp premier international event present research logic programming proceeding include technical communication 41st iclp hold 1219 september 2025 university calabria rende italy paper extend abstract volume address follow area topic theoretical foundation language design programming methodology program analysis optimization application implementation methodology volume feature contribution three submission track iclp 2025 main track ijcai fast track recently publish research track,iclp,year_post_2024,2026,logic reasoning knowledge,0,0,logic programming event particle physics volume thermodynamic logic program horn clause,1
conditional temporal conditional gradual argumentation,noauthor,noabstract,iclp,year_post_2024,2025,notopic,46,0,nokeyword,1
learn contest assumptionbase argumentation framework invite talk,ofer arieli jesse heyninck,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,2
agentifie argumentative learn short paper,noauthor,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,1
empower public interest communication argumentation project report short paper,alejandra casas niño de rivera,noabstract,iclp,year_post_2024,2025,notopic,10,0,nokeyword,1
early insight argumentationguide causal evaluation help llm,shuang wang wenjie chen yang zhang ting chen jian du,noabstract,iclp,year_post_2024,2025,notopic,52,0,nokeyword,2
enhancement prolog playground ald notebooks modern prolog classroom,noauthor,noabstract,iclp,year_post_2024,2025,notopic,17,0,nokeyword,3
temporal conditional reasoning weight knowledge basis,christian eichhorn,noabstract,iclp,year_post_2024,2025,notopic,29,0,nokeyword,3
teach asp user share code abstract invite talk,terri lindenberg,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,4
preliminary evaluation opensource llm datalogbase semantic parse asvin project,amad atiq george ubakanma muddesar iqbal,noabstract,iclp,year_post_2024,2025,notopic,24,0,nokeyword,1
asp chef create survey,noauthor,noabstract,iclp,year_post_2024,2025,notopic,28,0,nokeyword,3
nexsim system explain nexus similarity,noauthor,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,4
iterative asp pipeline enhancement robot play mobile game,noauthor,noabstract,iclp,year_post_2024,2025,notopic,5,0,nokeyword,4
general grid recognition logicdriven gameplay intelligent robot,noauthor,noabstract,iclp,year_post_2024,2025,notopic,8,0,nokeyword,2
tackle air traffic flow capacity management problem explainable answer set programming,gładyś sylwester malarski marek jasiński sławomir skorupski jacek,noabstract,iclp,year_post_2024,2025,notopic,56,0,nokeyword,5
knowledge graph amp reasoning concert automate regulation corporate economic,noauthor,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,2
flexible lifelong explainable robust solution multiagent path find problem,aysu bogatarkan,multiagent path find mapf problem combinatorial search problem aim find path multiple agent environment without collision subject constraint length path realworld application mapf require flexible lifelong robust explainable solution study challenge address,iclp,year_post_2024,2025,robotic path planning algorithm,33,0,path computing minification subject document optimization problem robustness evolution,4
neurosymbolic ai digital forensic commonsense qualitative reasoning,son tran edjard mota artur d'avila garcez,noabstract,iclp,year_post_2024,2025,notopic,29,0,nokeyword,5
tool set convert control natural language ai formalism,noauthor,noabstract,iclp,year_post_2024,2025,notopic,42,0,nokeyword,5
represent evaluate sbvr specification via asp,murali mohanan imran sarwar bajwa,noabstract,iclp,year_post_2024,2025,notopic,43,0,nokeyword,4
translation asp rule control natural language sentence,simone caruso carmine dodaro marco maratea marco mochi francesco riccio,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,4
resource allocation cooperative agent,noauthor,noabstract,iclp,year_post_2024,2025,notopic,19,0,nokeyword,2
enhance compilationbase asp solving,carmine dodaro giuseppe mazzotta francesco ricca,noabstract,iclp,year_post_2024,2025,notopic,26,0,nokeyword,5
enhance compilationbase asp solving postpone atom discovery,andrea cuteri giuseppe mazzotta francesco ricca,noabstract,iclp,year_post_2024,2025,notopic,50,0,nokeyword,5
toward execute datalog big data platform extend abstract,bernard lang,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,3
peg 20 futuregaze sociolinguistic historical len,noauthor,noabstract,iclp,year_post_2024,2025,notopic,26,0,nokeyword,2
learn asp domainspecific heuristic use transformer,marcello balduccini,noabstract,iclp,year_post_2024,2025,notopic,43,0,nokeyword,5
searchguide generation property program analyzer,yixuan liang,noabstract,iclp,year_post_2024,2025,notopic,36,0,nokeyword,4
knowledgebase stable roommate problem,müge fidan,phd study author focus humancentere computationallychallenge interdisciplinary problem stable roommate problem variation motivate realworld application fact stable roommate problem always admit stable solution goal develop novel computational method solve problem computationally efficient also yield solution fair personalize applicable realworld benefit human,iclp,year_post_2024,2025,constraint satisfaction optimization,0,0,focus optic stable marriage problem stability learn theory yield engineering context archaeology,4
llmasp framework mitigating hallucination support symbolic reasoning large language model,xing xu,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,4
explore digital twin integration asp asp chef,fiona rossette-crake,noabstract,iclp,year_post_2024,2025,notopic,23,0,nokeyword,4
formal verification answer set program contain advanced language construct,rolf schwitter,noabstract,iclp,year_post_2024,2025,notopic,46,0,nokeyword,5
simple generative logic grammar tool teach logical thinking visual research art design,susanna berger,noabstract,iclp,year_post_2024,2025,notopic,3,0,nokeyword,5
answer set counting application network reliability system biology,mohimenul kabir,focus answer set programming asp specifically answer set counting explore exact approximate methodology develop exact asp counter sharpasp utilize compact encoding propositional formula significantly enhance efficiency compare exist method often struggle inefficient encoding evaluation indicate sharpasp outperform current asp counter several benchmark addition propose approximate asp counter name approxasp hashingbase counter integrate gaussjordan elimination within asp solver clingo practical application employ approxasp network reliability estimation demonstrate superior performance traditional reliability estimator satbase method,iclp,year_post_2024,2025,bayesian model causal inference,42,0,set abstract datum type computer science programming language,4
precise exponentialtime complexity nonmonotonic reasoning,georg gottlob,noabstract,iclp,year_post_2024,2025,notopic,17,0,nokeyword,3
towards incorporate normative requirement autonomous system use datalog,dorra zaibi meriem riahi faouzi moussa,noabstract,iclp,year_post_2024,2025,notopic,3,0,nokeyword,3
visualize kripke model logikey case sdl,n. mansurov d. zhukov,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,3
decompile language model logic program,noauthor,noabstract,iclp,year_post_2024,2025,notopic,18,0,nokeyword,4
logic answer set programming high school two learn unit experience,fabrizio riguzzi,noabstract,iclp,year_post_2024,2025,notopic,10,0,nokeyword,5
explore neurosymbolic system answer set programming application waste water monitoring,steffen schieweck gabriele kern-isberner michael ten hompel,noabstract,iclp,year_post_2024,2025,notopic,30,0,nokeyword,5
constructionist codesign learning experience workinprogress engage teacher integrate logic programming primary school,maria daskolia jaume piera karen soacha,noabstract,iclp,year_post_2024,2025,notopic,27,0,nokeyword,3
prolog meet generative model new approach manage knowledge planning robotic application abstract,enrico saccon ahmet tikna davide de martini edoardo lamon luigi palopoli marco roveri,paper propose robot orient knowledge representation system base use prolog language framework hinge special organisation knowledge base kb enable 1 efficient population natural language text use semiautomate procedure base large language model llm 2 seamless generation temporal parallel plan multirobot system sequence transformation 3 automate translation plan executable formalism framework support set open source tool functionality show realistic application,iclp,year_post_2024,2025,aibased problem solve planning,33,0,prolog computer science generative grammar artificial intelligence software engineering generative design programming language humancomputer interaction engineering,5
teach prolog logic programming jupyter notebook,noauthor,noabstract,iclp,year_post_2024,2025,notopic,12,0,nokeyword,5
legal logic programming framework autonomous vehicle,vineel tummala daniela inclezan,noabstract,iclp,year_post_2024,2025,notopic,17,0,nokeyword,5
userarmor extension apparmor,mario alviano pierpaolo sestito,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,1
global type inference java use answer set programming,fabrizio riguzzi,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,4
platform introduce logic programming bulgarian secondary school idea intelligent datum educational analysis system,veneta tabakova-komsalova ivan stoyanov george cholakov magdalena maglizhanova,noabstract,iclp,year_post_2024,2025,notopic,9,0,nokeyword,1
research summary explainable artificial intelligence answer set programming machine learning,vladimir lifschitz,background duration second stage labor crucial fetal delivery optimal length stage remain controversial extend duration second stage reduce primary cesarean delivery rate may increase maternal neonatal morbidity duration progress aim develop personalize machine learning ml model predict possible secondstage duration method multicenter retrospective study conduct four tertiary hospital china september 2013 october 2022 datum three hospital guangdong province select derivation set geographically independent dataset fujian province external validation set singleton vaginal delivery term live birth cephalic position include primary outcome duration second stage labor since duration beyond 3 h rare develop binary classification model threshold 1 h 2 h optimal feature select recursive feature elimination rfe method four ml algorithm employ build model good model would select predictive performance interpret shapley additive explanation method study register clinical trial chictr2400085338 finding electronic medical record 79381 vaginal delivery obtain 63401 delivery meet inclusion criterion include final analysis eight risk feature select rfe process gradient boost machine implement decision tree model achieve good performance yield area curve 1h 2h model 0808 95 confidence interval ci 07970819 0824 95 ci 08040843 testing set 0862 95 ci 08540870 0859 95 ci 08430875 external validation set respectively interpretation explainable reliable ml model develop predict probable secondstage duration could assist individualized labor management factor firststage duration maternal age potential predictor second stage fund national natural science foundation china no82371689 n081771602 national key research development program china no2021yfc2700703,iclp,year_post_2024,2025,maternal perinatal health intervention,40,0,medicine duration music retrospective cohort study stage stratigraphy cohort internal medicine,5
asp pddl application urban traffic distribution control,sandra castellanos-paez francesco percassi mauro vallati,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,4
early validation highlevel requirement cyberphysical system,ondřej vašíček,overarch broad topic research advancement area safetycritical cyberphysical system cp development emphasis validation verification particular focus research early validation highlevel requirement cp current approach tackle problem transform requirement event calculus subsequently reason use asp solver groundingfree scasp discuss research current state open issue still leave tackle first result work present paper accept iclp24 first paper area,iclp,year_post_2024,2025,software engineering technique practice,0,0,cyberphysical system computer science reliability engineering engineering operating system,1
probabilistic declarative process mining,anti alman fabrizio maria maggi marco montali rafael peñaloza,variety application domain business process intrinsically uncertain surprisingly language technique bpm consider uncertainty firstclass citizen also case declarative process typically require process execution satisfy elicited process constraint counteract limitation introduce notion probabilistic process constraint show characterize semantic probabilistic process constraint interplay time probability possible reason constraint loosely couple temporal probabilistic reasoning rely approach redefine several key process mining task light uncertainty first discuss probabilistic constraint discover event datum employ offtheshelf exist algorithm declarative process discovery second study carry monitoring obtain set monitor partial trace may multiple monitor state time though different probability third handle conformance check trace event log level latter case provide notion earth mover distance suit context present technique implement proofofconcept prototype 2022elsevierltdallrightsreserve,iclp,year_post_2024,2025,business process modeling analysis,45,0,probabilistic logic computer science process mining trace psycholinguistic event particle physics process compute context archaeology semantic computer science theoretical computer science probabilistic database constraint computeraide design programming language business process artificial intelligence machine learn datum mining work process business process management relational database mathematic,4
scalable approach probabilistic compliance declarative process mining,christian sturm stefan schönig stefan jablonski,noabstract,iclp,year_post_2024,2025,notopic,17,0,nokeyword,3
neurosymbolic approach fraud detection financial data public administration,noauthor,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,5
scalable ethical medical scheduling aspbase framework patientcentere experimental validation,hongnan ye,noabstract,iclp,year_post_2024,2025,notopic,0,0,nokeyword,4
compute universal plan partially observable multiagent path find,fengming zhu fangzhen lin,multiagent routing problem gain significant attention recently due wide range industrial application range logistic warehouse automation indoor service robot conventionally model classical planning problem paper argue beneficial formulate universal planning problem particularly agent autonomous entity may encounter unforeseen situation therefore propose universal plan also know policy solution concept implement system base answer set programming asp compute give arbitrary twodimensional map profile goal group partially observable agent system translate problem configuration logic program find feasible universal plan agent mapping observation action ensure collision agent use system conduct experiment obtain finding regard type goal profile environment lead feasible policy well feasibility may depend agent sensor also demonstrate user customize action preference compute efficient policy even nearoptimal one code available httpsgithubcomfernadoomapfasp,iclp,year_post_2024,2025,notopic,49,0,nokeyword,1
frdxel expert system danish traffic law,luís cruz-filipe jonas vistrup,present faerdxel tool symbolic reasoning domain danish traffic law faerdxel combine technique logic programming novel interface allow user navigate reasoning process thereby ensure system explainability towards goal well understanding value faerdxel two evaluation system perform 1 empirical evaluation show selection court case conclusion faerdxel align danish judge 2 qualitative evaluation legal expert indicate work potential become foundation realworld ai tool support professional danish legal sector,iclp,year_post_2024,2025,business process modeling analysis,30,0,danish law political science philosophy linguistic,1
veruslm versatile framework combine llm symbolic reasoning,benjamin callewaert simon vandevelde joost vennekens,recent approach neurosymbolic reasoning explicitly combine strength large language model llm symbolic solver tackle complex reasoning task however current approach face significant limitation include poor generalizability due taskspecific prompt inefficiency cause lack separation knowledge query restrict inferential capability shortcoming hinder scalability applicability across diverse domain paper introduce veruslm novel framework design address challenge veruslm employ generic prompting mechanism clearly separate domain knowledge query support wide range different logical reasoning task framework enhance adaptability reduce computational cost allow rich form reason optimization constraint satisfaction show approach succeed diverse reasoning novel dataset markedly outperform llm additionally system achieve competitive result common reasoning benchmark compare similar stateoftheart approach significantly surpasse difficult arlsat dataset push boundary hybrid reasoning veruslm represent significant step towards versatile neurosymbolic ai system,iclp,year_post_2024,2025,natural language processing technique,38,0,computer science,2
combine problem online task assignment lifelong path find logistic warehouse case study,fengming zhu weijia xu yifei guo fangzhen lin,study combine problem online task assignment lifelong path find crucial logistic industry however literature either 1 focus lifelong path finding assume give task assigner 2 study offline version problem task know advance argue maximize system throughput online version integrate two component tackle directly end introduce formal framework combine problem solution concept design rulebase lifelong planner practical robot model work well even environment severe local congestion upon automate search task assigner respect underlie path planner simulation experiment conduct warehouse scenario meituan one large shopping platform china demonstrate term time efficiency system require 8377 execution time need currently deploy system meituan outperform sota algorithm 809 bin term economic efficiency achieve throughput 60 agent currently use code demos available httpsgithubcomfernadooonlinetapf,iclp,year_post_2024,2025,notopic,0,0,nokeyword,1
refined operational semantic freechr,sascha rechenberger thom frühwirth,constraint handling rule chr rulebase programming language typically embed generalpurpose language exist plethora implementation numerous host language however exist implementation often reinvent way embed chr impede maintenance weaken assertion correctness formalize thereby standardize embed arbitrary host language introduce framework freechr prove valid representation classical ground chr framework include translation abstract operational semantic due abstract nature sufficient base practical implementation paper present translation refine operational semantic freechr prove valid concretization abstract semantic freechr equivalent representation refined semantics chr establish implementation freechr equivalent behavior expressiveness exist implementation chr,iclp,year_post_2024,2025,logic programming type system,30,0,implementation semantic computer science operational semantic embed representation politic constraint computeraide design translation biology,1
vecsr virtually embody common sense reasoning system,alexis r. tudor joaquín arias gopal gupta,development autonomous agent see revival enthusiasm due emergence llm gpt4o deploy agent environment coexist human eg domestic assistant require special attention trustworthiness explainability however use llm deep learning model still resolve key issue deep learning system may hallucinate unable justify decision black box perform badly unseen scenario work propose use scasp goaldirecte common sense reasoner base answer set programming break highlevel task autonomous agent midlevel instruction justify selection instruction validate use real application present framework integrate reasoner virtualhome simulator compare accuracy gpt4o run real use case available domestic environment virtualhome additionally since experiment virtualhome show need reduce response time increase agent decision space grows propose evaluate series optimization base program analysis exploit advantage topdown execution scasp,iclp,year_post_2024,2025,semantic web ontology,24,0,semantic reasoner exploit set abstract datum type key lock common sense embody cognition commonsense reasoning enthusiasm,2
framework conditional reasoning answer set programming,mario alviano laura giordano daniele theseider dupré,paper introduce conditional answer set programming framework conditional asp definition conditional extension answer set programming asp approach build conditional logic typicality combination conditional knowledge base asp program allow conditional reasoning answer set program formalism rely multipreferential semantic klm preferential semantic special case conditional entailment encode asp complexity upperbound provide,iclp,year_post_2024,2025,logic reasoning knowledge,40,0,answer set programming set abstract datum type logic programming nonmonotonic logic conditional probability formalism music logical consequence,4
aspbase nurse scheduling system university yamanashi hospital,hidetomo nabeshima mutsunori banbara torsten schaub takehide soh,present design principle nurse scheduling system build use answer set programming asp successfully deploy university yamanashi hospital nurse scheduling complex optimization problem require reconciliation individual nurse preference hospital staffing need across various ward involve balance hard soft constraint flexibility interactive adjustment extensively study academia realworld nurse scheduling present unique challenge go beyond typical benchmark problem competition paper detail practical application asp address challenge university yamanashi hospital focus insight gain advancement asp technology necessary effectively manage complexity realworld deployment,iclp,year_post_2024,2025,pharmacy medical practice,16,0,staffing nurse scheduling problem scheduling production process job shop scheduling flexibility engineering university hospital,3
machine learn model integration open world temporal logic process automation,dyuman aditya colton payne mario leiva paulo shakarian,recent advance machine learning ml produce model extract structured information complex datum however significant challenge lie translate perceptual extractive output actionable explainable decision within complex operational workflow address challenge paper introduce novel approach integrate output various machine learning model directly pyreason framework openworld temporal logic programming reasoning engine pyreason foundation generalize annotate logic allow incorporation realvalue output eg probability confidence score diverse set ml model treat truth interval within logical framework crucially pyreason provide mechanism implement python continuously poll ml model output convert logical fact dynamically recompute minimal model enable decisionmake realtime furthermore native support temporal reasoning knowledge graph integration fully explainable interface trace enable analysis timesensitive process datum exist organizational knowledge combine strength perception extraction ml model logical deduction transparency pyreason aim create powerful system automate complex process integration well suited use case numerous domain include manufacture healthcare business operation,iclp,year_post_2024,2025,business process modeling analysis,13,0,automation transparency behavior process compute automate reasoning temporal logic inductive logic programming set abstract datum type interval temporal logic graph,2
interpretable hybrid machine learning model use foldr answer set programming,sanne wielinga jesse heyninck,machine learning ml technique play pivotal role highstake domain healthcare accurate prediction greatly enhance decisionmake however highperforming method neural network ensemble method often opaque limit trust broad adoption parallel symbolic method like answer set programming asp offer possibility interpretable logical rule always match predictive power ml model paper propose hybrid approach integrate aspderive rule foldr algorithm blackbox ml classifier selectively correct uncertain prediction provide humanreadable explanation experiment five medical reveal statistically significant performance gain accuracy f1 score study underscore potential combine symbolic reasoning conventional ml achieve high interpretability without sacrifice accuracy,iclp,year_post_2024,2025,explainable artificial intelligence xai,16,0,interpretability set abstract datum type artificial neural network limit expressive power supervise learn inductive logic programming,5
aspbase framework mus,mohimenul kabir kuldeep s meel,give unsatisfiable formula understand core reason unsatisfiability crucial several application one effective way capture minimal unsatisfiable subset mus subsetminimal set clause remain unsatisfiable current research broadly focus two direction enumerate many mus possible within give time limit ii counting total number mus give unsatisfiable formula paper introduce answer set programmingbase framework name musasp design online enumeration muse asp powerful tool strength knowledge representation particularly suitable specify complex combinatorial problem translate mus enumeration answer set solve musasp leverage computational efficiency stateoftheart asp system extensive experimental evaluation demonstrate effectiveness musasp highlight acceleration mus enumeration counting task particularly integrate within hybrid solver include framework propose paper,iclp,year_post_2024,2025,semantic web ontology,90,0,enumeration set abstract datum type representation politic core optical fiber combinatorial explosion acceleration,4
simple effective aspbase tool enumerate minimal hitting set,mohimenul kabir kuldeep s meel,hit set problem fundamental problem computer science mathematic give family set universe element minimal hit set subsetminimal collection element intersect set family enumerate minimal hitting set crucial various realworld application paper address full enumeration minimal hit set give family set formulate problem use answer set programming asp leverage exist asp solver efficient enumeration propose aspbased tool minhitasp empirical evaluation show effectively enumerate minimal hit set across benchmark diverse problem domain,iclp,year_post_2024,2025,logic reasoning knowledge,74,0,set abstract datum type leverage statistic simple philosophy answer set programming hit time sequence biology enumeration,5
reason medical triage optimization logic programming,jaikrishna manojkumar patil adam chapman richard knuszka john chapman paulo shakarian,present logic programming framework orchestrate multiple variant optimization problem reason result support highstake medical decisionmake logic programming layer coordinate construction evaluation multiple optimization formulation translate solution logical fact support symbolic reasoning ensure efficient resource allocation specifically target right patient right platform right escort right time right destination principle capability integrate guardiantwin decision support system forward medical evacuation medevac rapid explainable resource allocation critical series experiment framework demonstrate average reduction casualty 3575 compare standard baseline additionally explore user engage system via intuitive interface deliver explainable insight ultimately enhance decisionmake critical situation work demonstrate logic programming serve foundation modular interpretable operationally effective optimization missioncritical domain,iclp,year_post_2024,2025,logic reasoning knowledge,24,0,logic programming triage resource allocation inductive programming functional logic programming resource disambiguation layer electronic optimization problem,3
